technology,year,parameter,value,unit,source,further description,currency_year
HVAC overhead,2030,lifetime,40,years,Hagspiel,,2020
HVAC overhead,2030,FOM,2,%/year,Hagspiel,,2020
HVDC inverter pair,2030,investment,150000,EUR/MW,Hagspiel,,2020
HVDC inverter pair,2030,lifetime,40,years,Hagspiel,,2020
HVDC inverter pair,2030,FOM,2,%/year,Hagspiel,,2020
HVDC overhead,2030,investment,400,EUR/MW/km,Hagspiel,,2020
HVDC overhead,2030,lifetime,40,years,Hagspiel,,2020
HVDC overhead,2030,FOM,2,%/year,Hagspiel,,2020
HVDC submarine,2030,investment,2000,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf,,2020
HVDC submarine,2030,lifetime,40,years,Hagspiel,,2020
HVDC submarine,2030,FOM,2,%/year,Hagspiel,,2020
hydro,2030,lifetime,80,years,IEA2010,,2020
hydro,2030,investment,2000,EUR/kW,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
hydro,2030,FOM,1,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
hydro,2030,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
hydrogen storage tank,2030,investment,8.3,USD/kWh,Elberry,,2020
hydrogen storage tank,2030,lifetime,25,years,custom,,2020
hydrogen storage underground,2030,investment,0.03,EUR/kWh,Preuster,,2020
hydrogen storage underground,2030,lifetime,50,years,Preuster,,2020
lignite,2030,lifetime,40,years,IEA2010,,2020
lignite,2030,investment,1500,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
lignite,2030,FOM,2,%/year,DIW DataDoc http://hdl.handle.net/10419/80348 PC (Advanced/SuperC),,2020
lignite,2030,VOM,7,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
lignite,2030,fuel,2.9,EUR/MWhth,IEA2011b,,2020
lignite,2030,efficiency,0.447,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
lignite,2030,CO2 intensity,0.334,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,2020
methanation,2030,investment,1000,EUR/kWH2,Schaber thesis,,2020
methanation,2030,lifetime,25,years,Schaber thesis,,2020
methanation,2030,FOM,3,%/year,Schaber thesis,,2020
methanation,2030,efficiency,0.6,per unit,Palzer,Breyer for DAC,2020
nuclear,2030,FOM,1.27,%/year,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","U.S. specific costs including newly commissioned Vogtle plant, average of range and currency converted, i.e. (131.5+152.75)/2 USD/kW_e / (1.09 USD/EUR) relative to investment costs.",2020
nuclear,2030,VOM,3.5464,EUR/MWh,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","U.S. specific costs including newly commissioned Vogtle plant, average of range and currency converted, i.e. (4.25+5)/2 USD/kW_e / (1.09 USD/EUR) .",2020
nuclear,2030,efficiency,0.326,p.u.,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","Based on heat rate of 10.45 MMBtu/MWh_e and 3.4095 MMBtu/MWh_th, i.e. 1/(10.45/3.4095) = 0.3260.",2020
nuclear,2030,fuel,3.4122,EUR/MWh,"DIW (2013): Current and propsective costs of electricity generation until 2050, http://hdl.handle.net/10419/80348 , pg. 80 text below figure 10, accessed: 2023-12-14.",Based on IEA 2011 data.,2020
nuclear,2030,investment,6295,EUR/kW,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","U.S. specific costs including newly commissioned Vogtle plant, average of range and currency converted, i.e. (8475+13925)/2 USD/kW_e / (1.09 USD/EUR) .",2020
nuclear,2030,lifetime,40,years,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.",,2020
OCGT,2030,lifetime,30,years,IEA2010,,2020
OCGT,2030,investment,737,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
OCGT,2030,FOM,3.75,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
OCGT,2030,VOM,40,EUR/MWh,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
OCGT,2030,efficiency,0.39,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
offwind,2030,lifetime,30,years,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2020
offwind,2030,investment,1640,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2020
offwind,2030,FOM,2.304878,%/year,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2020
offwind,2030,VOM,2.7,EUR/MWhel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2020
offwind-ac-connection-submarine,2030,investment,2685,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2020
offwind-ac-connection-underground,2030,investment,1342,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2020
offwind-ac-station,2030,investment,250,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data,,2020
offwind-dc-connection-submarine,2030,investment,2000,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf,,2020
offwind-dc-connection-underground,2030,investment,1000,EUR/MW/km,Haertel 2017,average + 13% learning reduction,2020
offwind-dc-station,2030,investment,400,EUR/kWel,Haertel 2017,assuming one onshore and one offshore node + 13% learning reduction,2020
oil,2030,lifetime,30,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348,,2020
oil,2030,investment,400,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
oil,2030,FOM,1.5,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
oil,2030,VOM,3,EUR/MWhel,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
oil,2030,fuel,50,EUR/MWhth,IEA WEM2017 97USD/boe = http://www.iea.org/media/weowebsite/2017/WEM_Documentation_WEO2017.pdf,,2020
oil,2030,efficiency,0.393,per unit,DIW DataDoc http://hdl.handle.net/10419/80348 CT,,2020
oil,2030,CO2 intensity,0.248,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,2020
onwind,2030,FOM,1.2167,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",20 Onshore turbines:  Fixed O&M,2020
onwind,2030,VOM,1.4286,EUR/MWh,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",20 Onshore turbines:  Variable O&M,2020
onwind,2030,investment,1783,EUR/kW,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",20 Onshore turbines:  Nominal investment,2020
onwind,2030,lifetime,30,years,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",20 Onshore turbines:  Technical lifetime,2020
PHS,2030,lifetime,80,years,IEA2010,,2020
PHS,2030,investment,2000,EUR/kW,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
PHS,2030,FOM,1,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
PHS,2030,efficiency,0.8,per unit,MIT 2022,,2020
retrofitting I,2030,discount rate,0.04,per unit,Palzer thesis,,2020
retrofitting I,2030,lifetime,50,years,Palzer thesis,,2020
retrofitting I,2030,FOM,1,%/year,Palzer thesis,,2020
retrofitting I,2030,investment,50,EUR/m2/fraction reduction,Palzer thesis,,2020
retrofitting II,2030,discount rate,0.04,per unit,Palzer thesis,,2020
retrofitting II,2030,lifetime,50,years,Palzer thesis,,2020
retrofitting II,2030,FOM,1,%/year,Palzer thesis,,2020
retrofitting II,2030,investment,250,EUR/m2/fraction reduction,Palzer thesis,,2020
ror,2030,lifetime,80,years,IEA2010,,2020
