id,Name,Fueltype,Technology,Country,Capacity,lat,lon,Efficiency,Duration,DateIn,DateOut,Set
IND1,CT INDEPEND. ETAPA1 G MEDITERR,OCGT,OCGT,AR,50,-26.8673,-65.2219,0.4,,,,PP
IND2,CT INDEPEND. ETAPA2 G MEDITERR,OCGT,OCGT,AR,49,-26.8673,-65.2219,0.4,,,,PP
INDE,GENERACION INDEPENDENCIA S.A.,OCGT,OCGT,AR,120,-26.8673,-65.2219,0.4,,,,PP
ISVE,CT ISLA VERDE - AGGREKO,OCGT,OCGT,AR,25,-33.242,-62.3938,0.4,,,,PP
JUNI,CT JUNIN,OCGT,OCGT,AR,22,-34.5706,-60.9162,0.4,,,,PP
KOSTEO,P.EOLICO KOSTEN,onwind,Onshore,AR,24,-45.8095,-68.0559,,,,,PP
LCA2,CT LOMA CAMPANA 2 -Y-GEN ELECT,OCGT,OCGT,AR,107,-38.3475,-68.6491,0.4,,,,PP
LCAM,CT LOMA CAMPANA 1 -YPF,OCGT,OCGT,AR,105,-38.3475,-68.6491,0.4,,,,PP
LCASEO,P.EOLICO LA CASTELLANA,onwind,Onshore,AR,101,-38.6201,-62.7346,,,,,PP
LDCU,C. TERMICAS MENDOZA SA,OCGT,OCGT,AR,553,-33.0439,-68.8816,0.4,,,,PP
LDLA,C.T. LOMA DE LA LATA S.A.,CCGT,CCGT,AR,765,-38.512,-68.6065,0.55,,,,PP
LEO1EO,P.EOLICO CAÑADON LEÓN MATER,onwind,Onshore,AR,21,-46.5879,-67.6422,,,,,PP
LEONEO,P.EOLICO CAÑADON LEÓN REN 2,onwind,Onshore,AR,102,-46.5879,-67.6422,,,,,PP
LEV1EO,P.EOLICO LEVALLE,onwind,Onshore,AR,62,-34.0391,-63.9171,,,,,PP
LEV2EO,P.EOLICO LEVALLE,onwind,Onshore,AR,93,-34.0391,-63.9171,,,,,PP
LEVA,EPEC GENERACION,OCGT,OCGT,AR,46,-31.8964,-64.2718,0.4,,,,PP
LHEREO,P.EOLICO LOS HERCULES,onwind,Onshore,AR,97,-46.6423,-68.4031,,,,,PP
LMADHI,HIDROELECTRICA LAS MADERAS,hydro,Run-Of-River,AR,31,-24.4438,-65.2203,0.9,,,,PP
LMO1HI,EPEC GENERACION,hydro,Run-Of-River,AR,52,-31.8184,-64.5033,0.9,,,,PP
LOM1EO,P.EOLICO LOMA BLANCA 1,onwind,Onshore,AR,51,-43.0299,-65.1997,,,,,PP
LOM2EO,P.EOLICO LOMA BLANCA 2,onwind,Onshore,AR,51,-43.0299,-65.1997,,,,,PP
LOM3EO,P.EOLICO LOMA BLANCA 3,onwind,Onshore,AR,51,-43.0299,-65.1997,,,,,PP
LOM4EO,C.EOLICA LOMA BLANCA IV-ENARSA,onwind,Onshore,AR,50,-43.0299,-65.1997,,,,,PP
LOM6EO,P.EOLICO LOMA BLANCA 6,onwind,Onshore,AR,102,-43.0299,-65.1997,,,,,PP
LOMAFV,PQUE SOLAR E. Ren. Las Lomas,solar,Pv,AR,32,-29.6017,-67.415,,,,,PP
LPLA,CT LA PLATA - SULLAIR,OCGT,OCGT,AR,40,-34.9367,-58.0172,0.4,,,,PP
LPLC,YPF LA PLATA COGENERACION,CCGT,CCGT,AR,90,-34.8904,-57.9229,0.55,,,,PP
LPUNFV,PQUE SOLAR LA PUNA SOLAR,solar,Pv,AR,100,-24.0738,-66.9261,,,,,PP
LREYHB,H. DIAMANTE SA,hydro,Pumped Storage,AR,224,-34.6015,-68.641,0.9,0,,,PP
LRI3FV,360 ENERGY FV,solar,Pv,AR,22,-29.3272,-67.4261,,,,,PP
LRIO,GENERACION RIOJANA SA,OCGT,OCGT,AR,50,-29.3828,-66.8343,0.4,,,,PP
LRIOFV,360 ENERGY FV,solar,Pv,AR,60,-29.3272,-67.4261,,,,,PP
LUJB,CT LUJAN II - ARAUCARIA ENERGY,OCGT,OCGT,AR,127,-34.5567,-59.0339,0.4,,,,PP
MAGD,CT MAGDALENA - APR ENERGY,OCGT,OCGT,AR,25,-35.0796,-57.5104,0.4,,,,PP
MAL1EO,C.EOLICA MALASPINA I - ENARSA,onwind,Onshore,AR,50,-44.994,-67.055,,,,,PP
MANAEO,P.EOLICO MANANTIALES BEHR,onwind,Onshore,AR,99,-45.6563,-67.7746,,,,,PP
MANQEO,P.EOLICO MANQUE MATER,onwind,Onshore,AR,57,-33.2364,-65.0546,,,,,PP
MAT3,CT MATHEU III - ARAUCARIA ENER,OCGT,OCGT,AR,256,-34.3956,-58.8319,0.4,,,,PP
MAT3EO,P.EOLICO 3 PICOS MATER,onwind,Onshore,AR,36,-38.3198,-62.2828,,,,,PP
MATE,CT MATHEU II - APR ENERGY,OCGT,OCGT,AR,230,-34.3956,-58.8319,0.4,,,,PP
MDP2,CT 9 de JULIO C Cost ATLANTICA,OCGT,OCGT,AR,94,-38.0498,-57.5455,0.4,,,,PP
MDPA,C.COSTA ATLANTICA,OCGT,OCGT,AR,131,-38.0498,-57.5455,0.4,,,,PP
MIRAEO,P.EOLICO MIRAMAR - RENOVAR 1.5,onwind,Onshore,AR,99,-38.2285,-58.048,,,,,PP
MMAR,GEN.MEDITERRANEA (CONT.PLUS),OCGT,OCGT,AR,390,-33.1593,-64.3644,0.4,,,,PP
NEC1EO,P.EOLICO VIENTOS DE NECOCHEA,onwind,Onshore,AR,38,-38.6147,-58.8263,,,,,PP
NECO,C.COSTA ATLANTICA,OCGT,OCGT,AR,204,-38.5787,-58.7106,0.4,,,,PP
NEU1EO,P.EOLICO VIENTOS NEUQUINOS I,onwind,Onshore,AR,100,-39.759,-69.7605,,,,,PP
NIH1HI,HIDROELECTRICA LOS NIHUILES SA,hydro,Run-Of-River,AR,72,-35.02708,-68.67882,0.9,,,,PP
NIH2HI,HIDROELECTRICA LOS NIHUILES SA,hydro,Run-Of-River,AR,110,-34.9909,-68.6233,0.9,,,,PP
NIH3HI,HIDROELECTRICA LOS NIHUILES SA,hydro,Run-Of-River,AR,42,-34.833,-68.5168,0.9,,,,PP
NIH4HI,HIDR NIHUIL IV (EMSE SE),hydro,Run-Of-River,AR,30,-34.8333,-68.5146,0.9,,,,PP
NONOFV,PQUE FOTOVOLTAICO NONOGASTA,solar,Pv,AR,35,-29.3272,-67.4261,,,,,PP
NPUE,CENTRAL PUERTO SA,CCGT,CCGT,AR,1188,-34.5733,-58.384,0.55,,,,PP
OLAVEO,P.EOLICO VIENTOS OLAVARRIA,onwind,Onshore,AR,77,-36.6269,-60.7933,,,,,PP
OLIVEO,P.EOLICO LOS OLIVOS MATER,onwind,Onshore,AR,23,-33.2114,-65.0892,,,,,PP
PAGUHI,HIDR. PIEDRA DEL AGUILA S.A.,hydro,Reservoir,AR,1440,-40.1901,-69.9934,0.9,,,,PP
PAMEEO,P.EOLICO PAMPA ENERGIA,onwind,Onshore,AR,50,-38.6605,-62.0524,,,,,PP
PATA,ENERGIA DEL SUR S.A.,CCGT,CCGT,AR,125,-45.7936,-67.5139,0.55,,,,PP
PBANHI,HIDR. CERROS COLORADOS S.A.,hydro,Reservoir,AR,472,-38.5595,-68.4744,0.9,,,,PP
